,models,params,mean_fit_time,mean_test_score
427,noise5|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 1, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'minority', 'DenoisedGeometricSMOTE__truncation_factor': 0, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.777961540222168,0.6055191216564734
428,noise5|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 1, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'minority', 'DenoisedGeometricSMOTE__truncation_factor': 0.5, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.767538595199585,0.6055191216564734
127,no_noise|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0.6, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'minority', 'DenoisedGeometricSMOTE__truncation_factor': 0, 'randomforestclassifier__random_state': 2357136044}",2.0103082180023195,0.6049591039717044
128,no_noise|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0.6, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'minority', 'DenoisedGeometricSMOTE__truncation_factor': 0.5, 'randomforestclassifier__random_state': 2357136044}",1.964508867263794,0.6049591039717044
454,noise5|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 1, 'DenoisedGeometricSMOTE__k_neighbors': 5, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'combined', 'DenoisedGeometricSMOTE__truncation_factor': 1, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.7667822360992431,0.6049535774813941
175,no_noise|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0.6, 'DenoisedGeometricSMOTE__k_neighbors': 5, 'DenoisedGeometricSMOTE__k_neighbors_filter': 5, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'majority', 'DenoisedGeometricSMOTE__truncation_factor': -1, 'randomforestclassifier__random_state': 2357136044}",1.7291112422943116,0.6049535774813941
145,no_noise|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0.6, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 5, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'majority', 'DenoisedGeometricSMOTE__truncation_factor': -1, 'randomforestclassifier__random_state': 2357136044}",1.7201961994171142,0.6049535774813941
115,no_noise|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0.3, 'DenoisedGeometricSMOTE__k_neighbors': 5, 'DenoisedGeometricSMOTE__k_neighbors_filter': 5, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'majority', 'DenoisedGeometricSMOTE__truncation_factor': -1, 'randomforestclassifier__random_state': 2357136044}",1.821882390975952,0.6049425245007738
85,no_noise|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0.3, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 5, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'majority', 'DenoisedGeometricSMOTE__truncation_factor': -1, 'randomforestclassifier__random_state': 2357136044}",1.7952234268188476,0.6049425245007738
248,noise5|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'minority', 'DenoisedGeometricSMOTE__truncation_factor': 0.5, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.9204930782318115,0.6049369980104634
247,noise5|DenoisedGeometricSMOTE|randomforestclassifier,"{'DenoisedGeometricSMOTE__deformation_factor': 0, 'DenoisedGeometricSMOTE__k_neighbors': 3, 'DenoisedGeometricSMOTE__k_neighbors_filter': 3, 'DenoisedGeometricSMOTE__random_state': 2357136044, 'DenoisedGeometricSMOTE__selection_strategy': 'minority', 'DenoisedGeometricSMOTE__truncation_factor': 0, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.8856890201568604,0.6049369980104634
